Fecha	Apertura	Máximo	Mínimo	Cerrar	Volumen	Ajustes de Cierre
2 de mar de 2015	8,98	9,05	8,90	8,97	54.739.600	8,97
27 de feb de 2015	8,88	8,98	8,86	8,98	65.956.900	8,98
26 de feb de 2015	8,76	8,94	8,76	8,91	28.718.500	8,91
25 de feb de 2015	8,82	8,87	8,76	8,80	26.833.100	8,80
24 de feb de 2015	8,93	8,95	8,80	8,86	33.116.500	8,86
23 de feb de 2015	8,93	8,95	8,78	8,87	39.256.100	8,87
20 de feb de 2015	8,75	8,89	8,65	8,78	38.559.400	8,78
19 de feb de 2015	8,70	8,80	8,61	8,79	43.807.300	8,79
18 de feb de 2015	8,62	8,74	8,61	8,74	46.708.800	8,74
17 de feb de 2015	8,41	8,62	8,32	8,55	36.555.900	8,55
16 de feb de 2015	8,47	8,62	8,41	8,44	74.838.200	8,44
13 de feb de 2015	8,32	8,56	8,28	8,50	57.200.300	8,50
12 de feb de 2015	8,00	8,29	7,97	8,24	52.952.800	8,24
11 de feb de 2015	8,04	8,12	7,98	8,04	30.287.500	8,04
10 de feb de 2015	8,04	8,20	8,00	8,10	29.586.400	8,10
9 de feb de 2015	8,12	8,15	7,92	8,00	35.639.900	8,00
6 de feb de 2015	8,16	8,26	8,08	8,24	44.835.000	8,24
5 de feb de 2015	8,08	8,14	7,95	8,13	32.790.400	8,13
4 de feb de 2015	8,10	8,31	8,06	8,16	84.536.400	8,16
3 de feb de 2015	7,73	7,97	7,71	7,93	95.233.300	7,93
2 de feb de 2015	7,62	7,64	7,39	7,64	59.537.500	7,64
30 de ene de 2015	7,69	7,70	7,52	7,60	97.331.100	7,60
29 de ene de 2015	7,60	7,70	7,48	7,61	33.863.100	7,61
28 de ene de 2015	7,93	7,96	7,56	7,61	84.942.700	7,61
27 de ene de 2015	7,97	8,00	7,79	7,90	63.738.400	7,90
26 de ene de 2015	7,94	8,06	7,85	8,01	33.437.600	8,01
23 de ene de 2015	8,08	8,14	7,89	7,99	56.079.400	7,99
22 de ene de 2015	7,91	8,06	7,83	7,98	58.794.700	7,98
21 de ene de 2015	7,86	7,90	7,66	7,86	43.842.300	7,86
20 de ene de 2015	7,74	7,87	7,70	7,82	47.880.500	7,82
19 de ene de 2015	7,59	7,71	7,49	7,65	40.268.100	7,65
16 de ene de 2015	7,45	7,56	7,42	7,53	38.686.500	7,53
15 de ene de 2015	7,49	7,56	7,21	7,49	51.111.700	7,49
14 de ene de 2015	7,38	7,59	7,34	7,40	30.519.000	7,40
13 de ene de 2015	7,37	7,55	7,35	7,48	30.433.400	7,48
12 de ene de 2015	7,41	7,44	7,25	7,38	45.025.600	7,38
9 de ene de 2015	7,50	7,55	7,23	7,32	65.420.200	7,32
8 de ene de 2015	7,61	7,68	7,35	7,56	72.591.100	7,56
7 de ene de 2015	7,53	7,65	7,44	7,47	34.180.900	7,47
6 de ene de 2015	7,63	7,68	7,45	7,45	33.824.000	7,45
5 de ene de 2015	7,86	7,92	7,55	7,57	93.605.400	7,57
2 de ene de 2015	8,00	8,03	7,85	7,92	91.685.900	7,92
1 de ene de 2015	7,85	7,85	7,85	7,85	0	7,85
31 de dic de 2014	7,82	7,88	7,80	7,85	9.556.600	7,85
30 de dic de 2014	7,95	7,95	7,81	7,86	45.160.600	7,86
29 de dic de 2014	8,01	8,01	7,79	7,97	40.883.100	7,97
26 de dic de 2014	8,02	8,02	8,02	8,02	0	8,02
25 de dic de 2014	8,02	8,02	8,02	8,02	0	8,02
24 de dic de 2014	8,00	8,02	7,96	8,02	12.206.700	8,02
23 de dic de 2014	7,93	8,05	7,83	8,04	152.860.700	8,04
22 de dic de 2014	7,95	8,02	7,84	7,91	132.064.100	7,91
19 de dic de 2014	8,11	8,13	7,79	7,98	142.872.100	7,98
18 de dic de 2014	7,96	8,04	7,86	8,03	64.645.400	8,03
17 de dic de 2014	7,77	7,83	7,64	7,78	90.215.400	7,78
16 de dic de 2014	7,78	7,88	7,45	7,86	114.536.700	7,86
15 de dic de 2014	7,96	8,04	7,72	7,72	54.404.300	7,72
12 de dic de 2014	8,16	8,22	7,93	7,95	104.728.500	7,95
11 de dic de 2014	8,19	8,32	8,14	8,22	72.712.400	8,22
10 de dic de 2014	8,36	8,43	8,18	8,23	75.636.200	8,23
9 de dic de 2014	8,47	8,48	8,29	8,33	54.347.000	8,33
8 de dic de 2014	8,64	8,68	8,56	8,56	18.084.800	8,56
5 de dic de 2014	8,55	8,66	8,49	8,66	58.037.500	8,66
4 de dic de 2014	8,71	8,73	8,31	8,37	60.640.100	8,37
3 de dic de 2014	8,63	8,73	8,60	8,66	67.812.800	8,66
2 de dic de 2014	8,55	8,62	8,50	8,61	24.271.400	8,61
1 de dic de 2014	8,57	8,60	8,47	8,51	32.564.800	8,51
